id;isi_berita;tema
62;"Dampak letusan Gunung Anak Krakatau (GAK) yang dimulai sejak Jumat (4/9) malam, akan terus dirasakan oleh dunia penerbangan Indonesia. Berdasarkan informasi terbaru yang disampaikan oleh Kementerian Perhubungan, penutupan sejumlah bandara akibat erupsi ini akan diperpanjang hingga Senin (7/9) pukul 18.00 WIB. Bandara-bandara yang ditutup antara lain Soekarno-Hatta (CGK), Radin Inten II Lampung (TKG), Halim Perdanakusuma (HLP), Husein Sastranegara Bandung (BDO), Budiarto Curug (RTO), Pondok Cabe (PCB), serta Bandara M. Taufik Kiemas (TFY). penutupan ketujuh bandara ini dilakukan sebagai bentuk mitigasi dari ancaman abu vulkanik yang dapat mengganggu mesin, sistem pesawat, hingga jarak pandang pilot. Langkah cepat yang dilakukan pemerintah patut diapresiasi. Meski demikian, dampak yang ditimbulkan akibat penutupan ini juga perlu segera ditangani. Seperti diketahui, empat dari tujuh bandara yang ditutup merupakan bandara komersial dengan layanan penerbangan tak hanya dalam negeri tetapi juga luar negeri. Mengutip data InJourney yang diambil dari detikFinance, setidaknya ada 2.300 penerbangan dan 268.539 penumpang terdampak sejak awal penutupan pada Sabtu (5 September 2026) hingga Senin (7 September 2026) pukul 09.00 WIB. dari angka tersebut, Bandara Soekarno-Hatta Tangerang Banten menyumbang angka 1.320 penerbangan dan 173.474 penumpang terdampak. Menanggapi efek penutupan bandara tersebut, Menko Bidang Infrastruktur dan Pembangunan Kewilayahan Agus Harimurti Yudhoyono (AHY) mendorong Kementerian Perhubungan untuk menyiapkan bandara alternatif. Adapun beberapa bandara yang ditunjuk antara lain Bandara Internasional Jawa Barat (BIJB) Kertajati di Majalengka, Bandara Ahmad Yani Semarang, Bandara Yogyakarta, serta Bandara Juanda Surabaya. Lalu sejauh mana bandara-bandara ini dapat menampung limpahan jumlah penerbangan yang sempat tertunda? Berdasarkan kondisi ini, sejauh mana ketahanan sistem penerbangan di Indonesia terhadap berbagai ancaman khususnya bencana alam? Simak ulasannya dalam detikSore bersama Pakar Aviasi, Alvin Lie. detikSore juga akan melihat langsung kondisi terkini di sejumlah bandara terdampak erupsi Gunung Anak Krakatau. Di sana, Jurnalis detikcom akan menyampaikan langsung laporan pandangan mata terkait penundaan sejumlah penerbangan dari atau menuju bandara Radin Inten Lampung dan Soekarno-Hatta, tangerang, Banten. Semudah apa para penumpang memperoleh hak-hak mereka? Simak laporannya dalam detikSore! Jelang petang nanti, detikSore akan menghadirkan Dani Arwanto. Inisiator Kelompok Tani Cemara di Jakarta utara. Kepada detikSore, dia akan menceritakan bagaimana usahanya mengubah ladang kumuh menjadi 'surga' bagi tanaman-tanaman hijau. Apa saja hasil yang diperoleh penerima anugerah Kalpataru 2023 di kategori Perintis Lingkungan itu? Simak kisahnya dalam Sunsetlak detikSore! Ikuti terus ulasan mendalam berita-berita hangat detikcom dalam sehari yang disiarkan secara langsung langsung (live streaming) pada Senin-Jumat, pukul 15.30-18.00 WIB, di 20.detik.com dan TikTok detikcom. Sampaikan komentar Anda melalui kolom live chat yang tersedia. ""Detik Sore, Nggak Cuma Hore-hore!"" (vys/gub)";finance
63;"Menteri Pertanian (Mentan) Andi Amran Sulaiman mengakui efisiensi biaya dan ongkos produksi beras Indonesia masih kalah dibandingkan negara tetangga seperti Vietnam dan Thailand. Menurut Amran besarnya alokasi subsidi pertanian yang dikucurkan pemerintah Thailand dan Vietnam menjadi pembeda utama ketimpangan biaya produksi beras domestik dengan negara tersebut. Hal ini disampaikan Amran menanggapi pernyataan Menteri Koordinator Bidang Perekonomian Zulkifli Hasan (Zulhas) yang menyebut biaya produksi beras petani lokal tiga kali lebih mahal dari dua negara tetangga itu. ""Pernyataan Pak Menko itu benar. Di sana subsidinya besar. Saya mempelajari bahkan di Arkansas, Amerika, hingga China subsidinya itu mencapai 70-80%"" kata Amran saat ditemui di kantor Kemenko Pangan, Jakarta Pusat, Senin (7/9/2026). Menurutnya secara umum biaya produksi beras di Indonesia masih sama dengan Thailand dan Vietnam. Hanya saja pemerintah tidak mengucurkan subsidi sektor pertanian sebesar negara-negara tetangga. ""Sebenarnya sama saja kalau dibandingkan, tapi subsidi kita kan kecil banget dibanding negara lain,"" ujarnya. Saat ditanya apakah pemerintah akan meningkatkan subsidi sektor pertanian untuk meningkatkan daya saing nasional, Amran menilai tingkat subsidi yang ada saat ini sudah cukup. Terlebih di tengah keterbatasan anggaran. Menurutnya Kementan lebih berfokus memaksimalkan dorongan teknologi, efisiensi rantai pasok, serta mekanisasi pertanian guna menggenjot produktivitas dan pendapatan petani. ""Cukuplah dulu. Ini kan APBN juga,"" tandasnya. (fdl/fdl)";finance
64;"Presiden Prabowo Subianto mengungkapkan pemerintah akan meningkatkan anggaran mitigasi bencana. Hal ini diungkapkan olehnya dalam Ratas Perkembangan Penanganan Bencana Alam secara virtual di Istana Merdeka. Mulanya saat memberikan sambutan dalam rapat, Prabowo memaparkan Indonesia mengalami sederet bencana alam belakangan ini. Mulai dari gempa di Flores hingga sekarang ada aktivitas erupsi Gunung Anak Krakatau. Di sisi lain, kebakaran hutan dan lahan juga menjadi salah satu masalah yang perlu ditangani. Menurutnya hal ini menjadi takdir Indonesia yang hidup di lingkaran api. Maka dari itu, antisipasi bencana harus menjadi hal yang penting. ""Ini adalah takdir kita, negara yang berada di lingkaran api, the ring of fire. Jadi, ini membawa kita untuk kita harus siap menghadapi keadaan seperti ini setiap saat,"" kata Prabowo dalam rapat yang disiarkan virtual, Senin (7/9/2026). Menurutnya, ini juga menjadi pelajaran bagi Indonesia, Indonesia harus meningkatkan mitigasi bencana dengan meningkatkan anggaran. ""Pelajaran juga bagi kita, bagi pemerintah yang saya pimpin, alokasi anggaran untuk mitigasi bencana harus kita tambah secara signifikan. Saya kira dalam menghadapi keadaan ke depan kita akan lebih mampu,"" lanjut Prabowo. (hal/ara)";finance
65;"Pemerintah akan melelang sebagai stok beras cadangan pemerintah (CBP) yang sudah mengalami penurunan mutu akibat penyimpanan jangka panjang. Rencananya sebanyak 380.000 ton beras akan dilelang secara terbuka untuk difungsikan sebagai bahan baku tepung beras nasional. Menteri Koordinator Bidang Pangan, Zulkifli Hasan alias Zulhas mengatakan lelang ini diperuntukkan bagi pengusaha pengolahan tepung beras dengan menetapkan harga batas bawah. ""Kebutuhan tepung itu sebetulnya dari beras pecah. Nah, karena kita dua tahun, stok kita ini kan paling tinggi ya. Belum pernah Bulog punya stok setinggi ini. Tahun lalu lima juta lebih, tahun ini lima juta lebih. Tentu ada yang karena sudah dua tahun, tentu ada yang kurang mutu. Nah, yang kurang mutu itu kira-kira 300.000, ini kita tadi boleh dilelang,"" jelas Zulhas dalam konferensi pers di kantornya, Jakarta Pusat, Senin (7/9/2026). Lebih lanjut, Zulhas mengatakan beras yang sudah turun mutu ini akan dilelang dengan harga minimal Rp 11.000 per kilogram. Menurutnya harga tersebut masih lebih murah dari harga beras SPHP medium. ""Minimal harganya Rp11.000. Dilelang, sudah kita putuskan ya. Dilelang tapi minimal Rp 11.000. SPHP kan Rp 12.000, jadi beda Rp 1.000 saja. Eh boleh dilelang Rp 11.000, itu yang mutunya turun. Itu nanti bisa dibeli oleh pabrik-pabrik tepung itu, pengusaha tepung itu untuk di, jadi tepung sehingga harga tepung yang naik juga bisa turun,"" ujarnya. Direktur Utama Perum Bulog, Ahmad Rizal Ramali, memaparkan mekanis lelang resmi akan dilakukan melalui Kantor Pelayanan Kekayaan Negara dan Lelang (KPKNL) di bawah naungan Kementerian Keuangan (Kemenkeu). ""Disepakati bahwa akan diberikan kebijakan hilirisasi beras yaitu menjadi tepung beras, jadi 380.000 ton dengan skema nanti dilelang di KPKNL. Di KPKNL dengan harga minimal Rp 11.000 yang dilepas dari pemerintah,"" terang Ahmad. Selain memberdayakan beras yang kurang mutu, ia mengatakan melalui proses lelang ini pemerintah bisa menghentikan impor beras pecah khusus industri tepung yang sudah berlangsung sejak tahun lalu. ""Bahan tepung beras yang biasanya itu impor dari luar negeri, alhamdulillah di saat ini sudah tidak ada impor lagi beras pecah dan lain sebagainya, maka dengan stok Bulog yang banyak dan adanya beras-beras Bulog yang turun mutu, di mana ketentuan dari tepung beras itu usia simpannya minimal di atas 10 bulan,"" tambahnya. (igo/fdl)";finance
66;"PT Telkom Indonesia (Persero) Tbk. (TLKM) berkomitmen untuk membagikan dividen yang menjadi hak investor atau para pemegang saham tahun 2026. Besaran dividen yang diberikan akan mengacu pada kinerja Perseroan. Direktur Keuangan & Manajemen Risiko Telkom Indonesia, Arthur Angelo Syailendra, mengatakan perseroan memproyeksikan dividend payout ratio (DPR) berada di kisaran 60-90% dari laba bersih. Meski begitu, besaran dividen ini harus mendapatkan persetujuan dalam rapat umum pemegang saham (RUPS). ""Telkom akan tetap fokus pada dividen tunai yang dibagikan setelah akhir tahun buku berjalan, bagaimana keputusannya pada RUPS tahun buku tersebut,"" ujarnya dalam konferensi pers secara virtual, Senin (7/9/2026). ""Per-assumption dari total dividen yang akan dibagikan berdasarkan dividen payout ratio sebesar 60-90% dari labah bersih,"" sambungnya. Arthur menjelaskan bahwa Telkom juga akan menyeimbangkan pertumbuhan dividen per share dengan kebutuhan ekspansi dan investasi Telkom, kinerja perusahaan, kondisi pasar serta aspirasi para pemegang saham. ""Di samping itu, Telkom juga akan menyeimbangkan pertumbuhan dividen per share dengan kebutuhan ekspansi dan investasi Telkom kinerja perusahaan, kondisi pasar, serta aspirasi para pemegang saham,"" katanya. (hrp/fdl)";finance
67;"Skema tadpole dengan angsuran yang lebih besar di awal periode pinjaman daring (pindar) dinilai bisa merugikan peminjam. Hal ini dinilai tidak sejalan dengan prinsip perlindungan konsumen, karena masyarakat yang mengakses pinjaman justru berada dalam kondisi membutuhkan dana. Anggota Komisi XI DPR RI Harris Turino menyoroti pola pembayaran dalam skema Tadpole yang membuat kewajiban peminjam sangat besar pada awal masa pinjaman, kemudian semakin kecil pada periode berikutnya. Menurut Harris, kemudahan akses pinjaman online harus diikuti dengan tanggung jawab penyelenggara dan regulator untuk memastikan produk pinjaman ditawarkan secara transparan, adil, dan tidak mengeksploitasi masyarakat yang sedang membutuhkan uang. ""Jadi, skema Tadpole itu adalah kewajibannya dari pinjaman itu di awal dibebankan besar sekali, baru kemudian di belakangnya kecil. Saya melihat persoalan ini bukan semata-mata soal pinjaman online saja, tetapi persoalan ini adalah persoalan perlindungan konsumen dan integritas dari industri jasa keuangan,"" tegas Harris dalam keterangannya, Senin (7/9/2026). Direktur Ekonomi Digital Center of Economic and Law Studies (Celios) Nailul Huda menilai skema Tadpole tidak adil bagi peminjam karena masyarakat yang mengajukan pinjaman pada dasarnya membutuhkan dana karena tidak memiliki uang yang cukup pada saat tersebut. Ketika peminjam justru diwajibkan membayar cicilan dalam jumlah besar pada awal periode, manfaat dana yang diperoleh menjadi relatif lebih kecil. ""Skema Tadpole sudah dibatasi oleh OJK karena memang tidak fair terhadap borrower. Borrower ketika meminjam ya sudah pasti karena tidak mempunyai uang di awal. Ketika harus membayar lebih besar di awal, maka yang didapatkan akan relatif lebih sedikit. Bagi konsumen itu tentu sangat memberatkan ketika dibebankan di awal. Pinjaman daring seharusnya memberikan skema yang adil bagi konsumen,"" ujar Nailul. Nailul menjelaskan, skema Tadpole sebenarnya digunakan penyelenggara untuk mengurangi risiko gagal bayar pada akhir periode pinjaman. Dengan membebankan cicilan lebih besar di awal, perusahaan dapat memastikan sebagian besar kewajiban peminjam telah dibayarkan sebelum memasuki masa akhir pinjaman. Sebagai gambaran, peminjam mengambil pinjaman dengan pokok utang Rp 1 juta dan bunga Rp 300 ribu. Dengan demikian, total kewajiban yang harus dibayarkan mencapai Rp 1,3 juta. Dalam skema Tadpole dengan tiga kali pembayaran, cicilan dapat dibuat tidak sama, yakni Rp 700 ribu pada cicilan pertama, Rp 400 ribu pada cicilan kedua, dan Rp200 ribu pada cicilan ketiga. Dengan pola tersebut, pokok utang sudah tertutupi pada pembayaran awal. Bagi perusahaan, mekanisme ini dapat mengurangi risiko kerugian apabila peminjam mengalami gagal bayar pada akhir periode. Namun, dari sisi peminjam, pola tersebut membuat beban pembayaran jauh lebih berat pada awal masa pinjaman. Nailul menilai, jika konsumen memang memiliki kemampuan untuk membayar lebih besar di awal, hal tersebut seharusnya menjadi pilihan, bukan kewajiban. Konsumen dapat diberikan opsi untuk melakukan pembayaran lebih besar atau menempatkan dana sebagai deposit yang dapat digunakan ketika dibutuhkan. Dengan mekanisme tersebut, konsumen tetap memiliki fleksibilitas menggunakan dananya dan tidak otomatis terbebani pembayaran besar pada awal masa pinjaman. Industri Diminta Perbaiki Credit Scoring Nailul menilai industri pindar tidak akan mengalami persoalan apabila skema Tadpole tidak lagi digunakan. Penyelenggara masih dapat menerapkan skema cicilan biasa yang membagi kewajiban pembayaran secara lebih merata setiap periode. Menurutnya, penghentian skema Tadpole justru dapat mendorong platform memperbaiki sistem penilaian kelayakan kredit atau credit scoring agar lebih prudent. ""Jika skema Tadpole tidak dipakai, industri pindar kan tidak ada masalah juga dengan skema biasa. Justru saya pribadi melihat ada tekanan ke platform untuk membuat sistem credit scoring yang lebih prudent,"" katanya. Selama ini, kata Nailul, platform menganggap skema Tadpole dapat digunakan untuk mengantisipasi tingginya risiko gagal bayar. Padahal, penerapan skema tersebut membuat peminjam harus menghadapi beban pembayaran yang tinggi sejak awal. ""Selama ini kan platform beranggapan untuk menghindari gagal bayar tinggi, maka Tadpole, justru Tadpole ini bisa membuat borrower harus membayar tinggi di awal,"" ujarnya. Selain pola pembayaran, Nailul menekankan pentingnya transparansi mengenai bunga dan biaya pinjaman. Setiap perhitungan bunga dan biaya lainnya harus disampaikan secara terbuka kepada konsumen. Ia juga mengingatkan agar tidak terdapat biaya tersembunyi (hidden cost) dalam skema pinjaman yang ditawarkan kepada masyarakat. Penyelenggara wajib menjalankan layanan sesuai dengan ketentuan yang berlaku, termasuk batasan bunga yang ditetapkan regulator. AFPI Diminta Sejalan dengan Regulator Nailul juga mengharapkan AFPI sebagai asosiasi industri pindar memiliki sikap yang searah dengan regulator dalam penerapan skema pinjaman daring. Menurutnya, AFPI tidak seharusnya mengambil kebijakan yang melampaui ketentuan regulator. Di sisi lain, kepentingan konsumen tetap harus menjadi perhatian dalam setiap skema pembiayaan yang ditawarkan. ""AFPI harus searah dengan regulator. AFPI tentu tidak boleh bertindak melebihi regulator. Namun demikian, konsumen harusnya diberikan informasi yang jelas, kemudian diberikan hak untuk memilih melanjutkan atau tidak dengan skema tersebut,"" kata Nailul. Dengan transparansi informasi dan pilihan yang jelas bagi konsumen, peminjam diharapkan dapat memahami konsekuensi finansial sebelum menyetujui pinjaman. Hal ini sekaligus menjadi bagian penting dalam menjaga perlindungan konsumen dan kepercayaan terhadap industri pinjaman daring.";finance
68;"PT Daya Intiguna Yasa Tbk (Perseroan atau MR.D.I.Y. Indonesia, IDX: MDIY) resmi membuka toko ke-1.400 di Indonesia. Pencapaian ini semakin mengukuhkan posisi MR.D.I.Y. Indonesia sebagai peritel perlengkapan rumah tangga terbesar di Tanah Air. Pembukaan toko ke-1.400 ini bertepatan dengan semangat perayaan Hari Pelanggan Nasional yang jatuh pada 4 September. Kehadiran MR.D.I.Y. Indonesia di 1.400 lokasi ini sejalan dengan komitmen Perseroan untuk terus hadir semakin dekat dengan pelanggan di seluruh Nusantara. Direktur Utama MR.D.I.Y. Indonesia, Edwin Cheah mengatakan perseroan mengutamakan pendekatan customer-centric dan menjadikan kebutuhan pelanggan sebagai kompas dalam menjalankan strategi pertumbuhan. ""Sebagai Perseroan yang mengutamakan pendekatan customer-centric, kami menjadikan kebutuhan pelanggan sebagai kompas dalam menjalankan strategi pertumbuhan. Hari Pelanggan Nasional menjadi momentum yang tepat untuk terus membuktikan pelanggan senantiasa menjadi pusat dari setiap langkah pertumbuhan MR.D.I.Y. Indonesia,"" ujar Edwin dalam keterangan tertulis, Kamis (3/9/2026). Prinsip customer-centric tersebut tidak hanya diwujudkan melalui pelayanan di dalam toko, tetapi juga menjadi landasan dalam memperluas jaringan. Kehadiran di 1.400 lokasi merefleksikan komitmen Perseroan untuk terus bertumbuh bersama pelanggan serta menghadirkan produk yang hemat dan lengkap semakin dekat bagi keluarga di seluruh Indonesia. Pencapaian 1.400 toko sekaligus menegaskan konsistensi Perseroan dalam menjalankan rencana ekspansi 2026 sesuai target. Tahun ini, Perseroan menargetkan pembukaan paling tidak 270 toko baru. Hingga Agustus 2026, jaringan MR.D.I.Y. Indonesia telah membuka 177 toko baru dan menjangkau 445 dari 514 kota dan kabupaten di 37 dari 38 provinsi. Ekspansi ini termasuk di area tier 3 seperti Kabupaten Sorong Selatan dan Kabupaten Buton Tengah. Sepanjang Juli dan Agustus 2026, total sebanyak 27 toko yang dibuka berada di luar Pulau Jawa. Sejumlah toko baru bahkan mencatatkan penjualan jauh di atas target awal pada bulan pertama operasional, menunjukkan kuatnya keandalan MR.D.I.Y. Indonesia bagi pelanggan Indonesia. Dari keseluruhan jaringan perseroan tersebut, 80% merupakan toko yang berdiri sendiri (standalone stores), sementara sisanya berada di pusat perbelanjaan (mall-based stores). Melalui jaringan yang semakin luas, MR.D.I.Y. Indonesia memberikan akses kepada lebih banyak pelanggan terhadap sekitar 18.000 pilihan produk kebutuhan sehari-hari dengan komitmen Hemat, Lengkap, Dekat. Guna menyemarakkan Hari Pelanggan Nasional, perseroan turut menghadirkan program kurasi produk spesial paling menguntungkan dengan harga yang lebih hemat hingga 52%. Lebih dari 800 produk dipilih berdasarkan berbagai kebutuhan dan persona pelanggan, termasuk kebutuhan merapikan dan menata rumah, kebutuhan sekolah dan kreativitas, kebutuhan olahraga, hobi dan game, kebutuhan perkakas dan liburan, serta kebutuhan fesyen dan pernak-pernik. Kurasi tersebut memudahkan pelanggan menemukan produk yang sesuai dengan kebutuhan sehari-hari, dengan tetap mengedepankan prinsip hemat dan value for money. ""MR.D.I.Y. Indonesia menjadikan kebutuhan pelanggan sebagai pertimbangan utama dalam menentukan kurasi produk dan mengembangkan pengalaman berbelanja. Kami terus memperdalam analisis terhadap pola pembelian, tingkat perputaran produk, dan perubahan permintaan untuk memahami kebutuhan pelanggan di berbagai wilayah,"" jelas Edwin. Selain menjaga relevansi pilihan produk, MR.D.I.Y. Indonesia terus berinvestasi dalam pelatihan dan pengembangan kompetensi karyawan, termasuk pemahaman produk dan keterampilan interpersonal. Investasi ini bertujuan mempertahankan standar pelayanan yang konsisten di seluruh 1.400 toko. ""Ke depan, MR.D.I.Y. Indonesia akan terus hadir lebih dekat bagi keluarga Indonesia, dengan komitmen menghadirkan produk yang hemat dan lengkap di setiap toko baru,"" pungkas Edwin. (anl/ega)";finance
69;"Direktur Utama PT Telkom Indonesia (Persero) Tbk. (TLKM) Dian Siswarini buka suara soal rencana konsolidasi aset fiber milik sejumlah BUMN ke bawah naungan Telkom. Salah satu yang sebelumnya disebut ialah aset fiber milik PT PLN (Persero) yakni PLN Icon Plus. Rencana konsolidasi itu merupakan arahan dari Danantara untuk setiap bisnis yang dijalankan BUMN fokus terhadap bisnis intinya. Dian menyampaikan saat ini rencana konsolidasi aset fiber tersebut masih dalam tahap kajian dan pembahasan bersama para pemangku kepentingan terkait. ""Terkait rencana konsolidasi aset fiber BUMN, kami memandang bahwa inisiatif tersebut merupakan bagian dari upaya mendorong BUMN untuk lebih di fokus pada core business serta meningkatkan efisiensi dan juga pemanfaatan aset sebagaimana arah kebijaksanaan strategis BUMN. Saat ini, rencana tersebut masih dalam tahap kajian dan pembahasan bersama para pemangku kepentingan terkait,"" ujar Dian dalam konferensi pers secara virtual, Senin (7/9/2026). Dian menyampaikan, dalam pembahasan dengan pemangkuan kepentingan tersebut mencakup aspek strategis, aspek bisnis, aspek operasional, maupun tata kelola. ""Untuk memastikan skema konsolidasi yang tepat bagi semua pihak,"" katanya. Meski begitu, Dian belum dapat mengungkapkan entitas maupun aset fiber BUMN mana saja yang akan dikonsolidasikan ke Telkom. ""Karena itu, terkait entitas maupun aset yang akan dikonsolidasikan belum kami dapat disclose atau sampaikan pada saat ini,"" terangnya. Sebelumnya, Telkom diminta Danantara untuk konsolidasi aset fiber seluruh BUMN. Hal ini disampaikan Direktur Utama Telkom, Dian Siswarini di kantor Telkom, Jakarta, Rabu (11/3/2026) malam. Langkah ini kata Dian adalah bagian dari strategi TLKM 30 untuk memperkuat tata kelola perusahaan dan fundamental bisnis di tahun 2026. ""Ada arahan Danantara, ada kajian supaya aset fiber di BUMN lain dikonsolidasikan,"" kata Dian. Ketika ditanya apakah aset fiber BUMN lain itu adalah PLN, Dian membenarkan. ""Ada dua, satunya itu (PLN) dan ada satu lagi,"" imbuhnya. Dian juga menjelaskan terkait dengan strategi TLKM 30 ini, Infranexia masih dengan rencana unlocking value. Caranya adalah dengan menggandeng investor, bisa dari dalam maupun dari luar negeri. Rencana ini kemungkinan baru akan dieksekusi tahun 2027. ""Mencari partner tahun ini bukan menjadi fokus, mungkin tahun depan. Sekarang fokus tahun ini bagaimana Infranexia bisa menjadi perusahaan FiberCo yang mumpuni,"" jelas Dian. (hrp/fdl)";finance
70;"AirNav Indonesia menerbitkan dua surat peringatan terkait perkembangan aktivitas vulkanik Gunung Anak Krakatau dan Gunung Ibu. ASHTAM VAWR3760 dirilis pada 7 September 2026 pukul 09.10 WIB terkait perkembangan aktivitas vulkanik Gunung Anak Krakatau di Selat Sunda dan ASHTAM VAWR9818 pada pukul 08.20 WIB terkait aktivitas vulkanik Gunung Ibu di Kabupaten Halmahera Barat, Maluku Utara. Untuk Gunung Anak Krakatau, ASHTAM VAWR3760 menetapkan status peringatan Merah dengan sebaran abu vulkanik teridentifikasi hingga Flight Level 500 (FL500) atau sekitar 50.000 kaki dan bergerak ke arah barat daya dengan kecepatan 15 knot (sekitar 28 km/jam). Kemudian sebaran abu vulkanik pada ketinggian hingga Flight Level 150 (FL150) atau sekitar 15.000 kaki, bergerak ke arah barat dengan kecepatan 15 knot. ASHTAM juga menyebutkan adanya abu vulkanik pada ketinggian tinggi yang telah terpisah dari sumber gunung berapi dan bergerak ke arah barat daya, yang diperkirakan akan menipis atau menghilang dalam waktu 12-18 jam. Sementara itu, emisi abu vulkanik secara terus-menerus hingga FL150 bergerak ke arah barat. ""Kondisi tersebut berada dalam Flight Information Region (FIR) Jakarta atau wilayah informasi penerbangan Jakarta. Untuk bandara terdampak (affected aerodrome) maupun rute pelayanan lalu lintas penerbangan terdampak (affected ATS routes) menjadi prioritas perhatian dalam pengelolaan ruang udara yang dilakukan Airnav Indonesia,"" tulis AirNav dalam keterangannya, Senin (7/9/2026). Gunung Ibu Untuk Gunung Ibu, ASHTAM VAWR9818 menetapkan status peringatan Oranye. Berdasarkan pemantauan, sebaran abu vulkanik Gunung Ibu teridentifikasi hingga Flight Level 070 (FL070) atau sekitar 7.000 kaki dan bergerak ke arah utara dengan kecepatan 10 knot (sekitar 19 km/jam). Laporan dari darat menunjukkan emisi abu vulkanik yang masih berlangsung (ongoing volcanic ash emissions). Abu vulkanik teridentifikasi melalui citra satelit, namun pada pengamatan terbaru tertutup oleh awan meteorologis. Aktivitas Gunung Ibu berada dalam FIR Ujung Pandang atau wilayah informasi penerbangan Ujung Pandang. Berdasarkan ASHTAM VAWR9818, tidak terdapat bandara terdampak maupun rute penerbangan terdampak. Untuk diketahui, ASHTAM merupakan informasi aeronautika khusus mengenai aktivitas gunung berapi dan abu vulkanik, yang diterbitkan untuk menyampaikan informasi mengenai keberadaan, ketinggian, dan pergerakan abu vulkanik yang dapat memengaruhi ruang udara. Informasi ini menjadi auan penting bagi pengguna ruang udara dalam melakukan perencanaan dan pelaksanaan penerbangan. ASHTAM VAWR3760 terkait Gunung Anak Krakatau berlaku mulai 7 September 2026 pukul 09.10 WIB hingga 8 September 2026 pukul 09.10 WIB. Sementara ASHTAM VAWR9818 terkait Gunung Ibu berlaku mulai 7 September 2026 pukul 08.20 WIB hingga 8 September 2026 pukul 08.20 WIB. Simak juga Video 'Update Sebaran Abu Vulkanik Anak Krakatau, Apakah Sampai Jakarta?': (hal/ara)";finance
71;"Menteri Keuangan (Menkeu) mengakui rentetan bencana yang terjadi di Tanah Air, mulai dari gempa bumi, kebakaran hutan dan lahan, hingga erupsi gunung bisa berdampak pada pertumbuhan ekonomi. Namun, Purbaya memprediksi ekonomi tidak akan tumbuh melambat secara signifikan. ""Pertumbuhan ekonomi harusnya sih ada gangguan dikit, tapi enggak akan sampai memperlambat ekonomi secara signifikan,"" ujar Purbaya saat ditemui di Gedung DPR, Jakarta Pusat, Senin (7/9/2026). Terkait kesiapan anggaran menghadapi bencana, Purbaya memastikan bahwa pemerintah telah menyiapkan dana penanganan bencana melalui Badan Nasional Penanggulangan Bencana (BNPB). Ia menyebut jika nantinya dibutuhkan dana tambahan di luar alokasi yang ada, pemerintah siap menggelontorkannya. ""Dana pasti pertama kali masuk BNPB. Nanti kalau kebutuhan dana tambahan baru kita kasih. Mudah-mudahan nggak besar dampaknya,"" imbuh Purbaya. Meski diuji dengan berbagai bencana, Purbaya menegaskan kondisi anggaran dan fundamental ekonomi nasional masih berada dalam batas yang aman. Pemerintah pun optimistis target pertumbuhan ekonomi tetap terjaga dan akan digenjot pada sisa kuartal-III hingga kuartal-IV tahun ini. ""Masih, kita akan genjot di kuartal III ke kuartal IV ini,"" tambah ia. (acd/acd)";finance
72;"Pemerintah akan menyalurkan bantuan sosial (bansos) pangan beras sebanyak 30 kg untuk periode Oktober, November, dan Desember 2026. Rencananya penyaluran dilakukan secara sekaligus (dirapel) untuk periode tiga bulan tersebut kepada seluruh keluarga penerima manfaat. Menteri Koordinator Bidang Pangan Zulkifli Hasan alias Zulhas mengatakan penyaluran bansos ini menyasar masyarakat kurang mampu yang masuk dalam kelompok desil 1 hingga desil 4. Menurutnya mencakup puluhan juta jiwa. ""Kita sudah memutuskan bantuan pangan untuk desil 1-desil 4 sejumlah 33 juta sekian (penerima manfaat) ya, rakyat kita yang jumlahnya itu kali 10 kg per bulan. Jadi 30 kg,"" kata Zulhas dalam konferensi pers usai rapat di kantornya, Jakarta Pusat, Senin (7/9/2026). Menurutnya langkah penyaluran bansos yang dilakukan sekaligus ini juga bertujuan untuk membanjiri stok masyarakat. Dengan begitu, permintaan akan beras di pasar dapat turun signifikan. Kondisi ini dinilai dapat ikut menekan kenaikan harga imbas pelemahan produksi beras domestik di tengah musim kemarau kering hingga akhir tahun ini. ""Kita putuskan tadi minta bulog selesaikan dikirimnya derapel bulan ini semua. Jadi nggak 10 kg, 10 kg, 10 kg lagi. Tapi langsung 30 kg dikirim langsung. Agar bulog membanjiri pasar masyarakat beras. Nggak usah nunggu sampai nanti bulan depan 10 kg lagi, bulan depan 10 kg, tidak,"" tegasnya. (igo/fdl)";finance
